Года;Страны СНГ;Европа;Страны ЕС (28);Азия;Африка;Австралия и Океания;Америка;Другие страны мира;Всего
1996;295,1;36,1;53,6;17,8;1,1;0;8,1;63,2;367,7
1997;273,7;47,3;53;75,8;1,5;0,1;4,2;128,9;412,6
1998;218,7;50,6;55,9;74,2;3,4;0;7,2;135,4;360,6
1999;176,1;46,5;49,5;66,9;6,2;0,1;12,4;132,1;313,8
2000;229,3;48,5;50,6;23,3;2,5;0;6,1;80,4;315,3
2001;265,8;92,8;101,6;51,1;2,3;0;6,3;152,6;425,6
2002;234,4;82,6;77,9;54,6;3,7;0;17,8;158,8;393,2
2003;279,2;152,4;140,8;57,9;2,7;0;30;243;522,2
2004;407,4;180,9;175,5;92,5;5,9;0,2;37,5;317;724,4
2005;496;105,4;103,5;88,8;18,2;0,4;12,8;225,6;721,6
2006;647,3;121,1;117,9;102,3;8,7;0,5;8,8;241,3;888,6
2007;890,9;130,2;122,5;95,1;18,4;0,7;7,7;252,1;1143
2008;1165,9;155,6;145,4;199,3;14,3;0,9;15,5;385,6;1551,5
2009;787,6;113;109,1;308,4;63;1;34,2;519,6;1307,2
2010;1018,2;101,6;96,2;213;64,1;0,8;35,5;414,9;1433,1
2011;1380,7;169,6;167,4;218,9;66,8;1,4;8,4;465,1;1845,8
2012;1320,1;267,3;286,1;279,7;139,9;NULL;13,5;702,1;2022,1
2013;1316,5;216,5;309,7;348,4;72,3;2,3;31,3;670,8;1987,3
2014;1127,3;266,1;302,1;287,4;107,8;2,1;30,4;693,8;1821,1
2015;660,1;206,2;201,6;305,9;125,2;2,3;11,9;651,5;1311,6
