Года;Страны СНГ;Европа;Страны ЕС (28);Азия;Африка;Австралия и Океания;Америка;Другие страны мира;Всего
1996;194,8;128,6;131,5;29,2;0,5;0;24,1;182,4;387,4
1997;308,5;223,6;220,5;45,5;4,9;0,1;16,1;290,2;611,8
1998;368;368,6;363,1;67,4;10,9;0;102,9;550;931,6
1999;374,7;263,9;257,2;49,8;5,5;0,1;62,8;382,1;779,8
2000;177,3;154,5;166;52;10,6;0,1;41,1;258,3;450,5
2001;185,5;194,4;181,9;41,3;11,9;0,1;35,6;28,6;474,8
2002;220,3;222,8;204,3;52,7;7,5;0;53;336,1;556,4
2003;373,6;280,8;251,6;81,3;9,5;0,1;74,6;446,3;819,9
2004;873,9;318,7;293,7;98,1;13,2;0,1;221,5;651,5;1525,4
2005;861,6;430,8;396,8;164,3;19,9;0,3;94,7;710;1571,6
2006;995,7;558,5;507,5;238,2;17,6;0,5;125,9;940,7;1936,4
2007;1143,3;629,6;558,5;290,8;20,6;2,8;178,3;1122,1;2265,4
2008;1200,5;651;587,9;439,8;23;5,4;160,5;1279,7;2480,2
2009;655,3;421;382,8;232;23,4;0,7;118,5;795,7;1451
2010;842,8;489,1;434;350,7;31;0,5;119,9;991,3;1834,1
2011;1007,8;660,1;580,7;439,6;34;NULL;133,1;1269,5;2277,3
2012;958,3;737,6;655,5;845,9;30,5;NULL;167,7;1782,7;2741,1
2013;855;740,3;658,4;536,3;34,2;0,4;171,2;1482,3;2337,3
2014;656,2;552;464,5;520,2;47;1,7;111,7;1232,6;1888,8
2015;412,9;381,2;347,7;366,7;39,5;3,4;81,2;872,1;1284,9
