Наименование услуги согласно с КЗЕП;Экспорт, тыс. долл. США;Экспорт, в % к ? кварталу 2015;Экспорт, в % к общему объему;Импорт, тыс. долл. США;Импорт, в % к ? кварталу 2015;Импорт, в % к общему объему
Всего1; 61663,5   ; 98,6   ; 100   ; 11669,2   ; 80,4   ; 100   
Услуги по переработке ресурсов; 796,4   ; 335,8   ; 1,3   ; 0 ; 0 ; 0 
Услуги для переработки товаров с целью реализации за рубежом; 796,4   ; 335,8   ; 100   ; 0 ; 0 ; 0 
Услуги по ремонту и техническому обслуживанию, которые не отнесены к другим категориям; 1216,2   ; 240,2   ; 2   ; 256,7   ; 85,6   ; 2,2   
Ремонт машин и оборудования; 218,9   ; 142,9   ; 18   ;NULL;NULL;NULL
Транспортные услуги; 2666,9   ; 74,2   ; 4,3   ; 1931   ; 89,5   ; 16,5   
Услуги воздушного транспорта; 683,2   ;NULL; 25,6   ; 682,2   ; 118,2   ; 35,3   
Железнодорожный транспорт; 856,6   ; 101,7   ; 32,1   ; 732,5   ; 90,8   ; 37,9   
Услуги автомобильного транспорта; 1080,2   ; 50,2   ; 40,5   ; 423,4   ; 69,7   ; 21,9   
Услуги, связанные с путешествиями; 10180,1   ; 91,7   ; 16,5   ; 692,3   ; 58   ; 5,9   
Услуги по строительству; 237,1   ; 48,7   ; 0,4   ;NULL;NULL;NULL
Строительство за рубежом; 237,1   ; 48,7   ; 100   ; 0 ; 0 ; 00 
Услуги по страхованию; 0 ; 0 ; 0 ; 8   ; 111,4   ; 0,1   
Услуги, связанные с финансовой деятельностью; 68   ; 48,6   ; 0,1   ; 2704,7   ; 67,2   ; 23,2   
Роялти и другие услуги, связанные с использованием интеллектуальной собственности; 169,4   ; 54,6   ; 0,3   ; 584,8   ; 111,9   ; 5   
Услуги в сфере телекоммуникации, компьютерные и информационные услуги; 39328,7   ; 111,1   ; 63,8   ; 1109,1   ; 218,1   ; 9,5   
Телекоммуникационные услуги;NULL;NULL;NULL; 64,3   ; 95,8   ; 5,8   
Компьютерные услуги; 38556,7   ; 112,9   ; 98   ; 947   ; 265,9   ; 85,4   
Информационные услуги;NULL;NULL;NULL; 97,9   ; 114,9   ; 8,8   
Деловые услуги; 6921,3   ; 65,0   ; 11,2   ; 4361,4   ; 75,3   ; 37,4   
Услуги исследования и разработки; 2177,9   ; 54,7   ; 31,5   ; 165,5   ; 24,0   ; 3,8   
Профессиональные и консалтинговые услуги; 570,1   ; 112,9   ; 8,2   ; 2920,9   ; 75,1   ; 67   
Научные и технические услуги; 3681   ; 67,6   ; 53,2   ; 570,7   ; 72,9   ; 13,1   
Услуги частным лицам, культурные и рекреационные услуги;79,5;70,8;0,1;NULL; 0     ;NULL
Государственные и правительственные услуги; 0 ; 0 ; 0 ; 6,4   ;NULL; 0,1   
