;ВРП Усього, у фактичних цінах, млн. грн.;ВРП У розрахунку на одну особу, у фактичних цінах, грн;ВРП У порівнянних цінах, у відсотках до попереднього року;Індекс обсягу сільськогосподарського виробництва  ;Індекси обсягу виконаних будівельних робіт  ;Індекс реальної заробітної плати;Індекси промислової продукції  ;Індекс споживчих цін  ;Індекс фізичного обсягу валової доданої вартості ;Індекс капітальних інвестицій  ;Індекс будівельної продукції
1991;;;;86,8;;;;;;;0
1992;;;;90,5;;;;;;;0
1993;;;;102,4;;;;;;;0
1994;;;;82,4;;;;;;;0
1995;;;;98,4;64,1;;;;;;0
1996;;;;87,4;80,4;;;;;;0
1997;;;;107,7;105,4;;;;;;0
1998;;;;83;107,2;;;;;;0
1999;;;;94;83,2;;;;;;0
2000;;;;116,5;99,4;;;;;;0
2001;;;;121,7;100;;;;;;0
2002;;;;99;93,6;117,3;;;;;0
2003;;;;85,3;122,5;109,8;110,8;;;;0
2004;20524;7182;112,2;118,2;114,5;118,1;116,1;;;;0
2005;25618;9025;104,8;107,9;85;130;112,5;;;;0
2006;32023;11353;107,5;91;116,8;109,2;105,9;;;;0
2007;43868;15645;107,2;103,7;110;109,8;109,6;119,1;;;0
2008;59389;21294;102,1;107,3;95;96,5;103,6;123,8;;;0
2009;58923;21228;86,3;89;64,2;100,4;79.7;112,9;86,3;;0
2010;65293;23639;101,7;88,6;91,6;106,6;105,8;109;101,7;119,1;0
2011;76866;27966;104,5;148,3;102,4;111,8;105,5;104,1;104,5;139,4;106
2012;82223;29972;98,4;91,9;93,2;110,7;97,6;99,2;98,4;125,9;95,7
2013;85315;31128;98,8;120;87;106,3;94,5;99,6;98,8;85,2;87
2014;96596;35328;97,9;103,1;89,6;86,6;94,8;125,3;98,6;91,9;89,6
2015;;;;97,2;101;89;88,2;144,2;;81,5;91,8
