Года;Страны СНГ;Европа;Страны ЕС (28);Азия;Африка;Австралия и Океания;Америка;Другие страны мира;Всего
1996;16,2;2,3;2,3;2,2;1,1;0;0,8;6,4;22,6
1997;22,3;3,8;3,8;2;1,2;0;1,2;8,3;30,5
1998;15,7;5,3;4,9;4,5;1,5;0;1,5;12,8;28,6
1999;10,8;5;4,9;3,8;1,7;0;3,2;13,8;24,5
2000;11,7;4,5;4,5;3,4;1,5;0;3,3;12,8;25
2001;16,6;5,5;5,8;5,6;1,7;0,3;3,7;16,8;33,4
2002;14;10,1;9,9;6,4;1,7;0,6;2,7;21,5;35,5
2003;15,1;5,5;4,7;8,4;1,7;0,4;3,2;19,2;34,3
2004;22,4;9,4;9,1;10,4;1,8;0,4;3,9;25,9;48,3
2005;29,8;9,1;8,7;10,5;2,7;0,5;6,4;29,2;58,9
2006;42;19,8;23;18,9;3,5;0,6;12,4;55,2;97,1
2007;172;25,6;28,4;19,8;4,4;0,3;19,3;69,4;241,4
2008;127,4;54,3;54,9;25;4,3;0,1;23;106,6;234
2009;101,4;47,2;47,7;29,9;5,1;0,6;20,4;103,2;207,3
2010;100;41,4;38,9;28,8;5,4;0,4;21,7;97,4;199,3
2011;171,2;51,9;49,7;41,7;8;0,4;35,6;137,5;308,8
2012;172,5;46,7;42,5;39,4;13,6;0,4;35,5;135,5;308,1
2013;171,8;55,2;52,1;53,7;13,3;0,6;50,3;173,1;345
2014;103,4;52,2;51,5;63,2;11,5;0,6;68,7;196,3;299,7
2015;55,6;60;59,9;72;12,9;0,5;60,8;206,2;261,8
