;Экспорт, тыс. долл. США;Экспорт, в % к ? кварталу 2015;Экспорт, в % к общему объему;Импорт, тыс. долл. США;Импорт, в % к ? кварталу 2015;Импорт, в % к общему объему
Всего1; 318147   ; 82,7   ; 100   ; 445368,4   ; 115,5   ; 100   
I. Живые животные, продукты животного происхождения; 1102,1   ; 56,4   ; 0,3   ; 5022,9   ; 29,5   ; 1,1   
рыба и ракообразные;NULL;0;NULL; 2890   ; 19,7   ; 0,6   
другие продукты животного происхождения;NULL;NULL;NULL; 3225   ; 42   ; 0,1   
II. Продукты растительного происхождения; 47812,4   ; 86,1   ; 15   ; 17390   ; 140   ; 3,9   
кофе, чай; 312,3   ; 51,8   ; 0,1   ; 4091   ; 150   ; 0,9   
зерновые культуры; 32481,9   ; 81,9   ; 10,2   ; 2432,6   ; 195,7   ; 0,5   
III. Жиры и масла животного или растительного происхождения; 19171,1   ; 110,9   ; 6   ; 3220,5   ; 61,8   ; 0,7   
IV. Готовые пищевые продукты; 74673,4   ; 98,7   ; 23,5   ; 59752,4   ; 116,1   ; 13,4   
какао и продукты из него; 2937,8   ; 114,9   ; 0,9   ; 3211,9   ; 166   ; 0,7   
готовые продукты из зерна; 13476   ; 98,9   ; 4,2   ; 603,1   ; 65,4   ; 0,1   
V. Минеральные продукты; 6961   ; 48,5   ; 2,2   ; 42478,1   ; 100   ; 9,5   
топлива минеральные, нефть и продукты ее перегонки; 5999,8   ; 46,9   ; 1,9   ; 39378,6   ; 120,2   ; 8,8   
VI. Продукция химической и связанных с ней отраслей промышленности; 11198,5   ; 101,1   ; 3,5   ; 49552,2   ; 126,2   ; 11,1   
органические химические соединения; 355,8   ; 155,9   ; 0,1   ; 19005,3   ; 106,2   ; 4,3   
фармацевтическая продукция; 5415   ; 99,2   ; 1,7   ; 7546,7   ; 152   ; 1,7   
VII. Полимерные материалы, пластмассы и изделия из них; 12381,8   ; 94,3   ; 3,9   ; 66796,5   ; 125,5   ; 15   
пластмассы, полимерные материалы; 11847,1   ; 93,2   ; 3,7   ; 52394,4   ; 121,9   ; 11,8   
VIII. Шкуры необработанные, кожа вычищена; 220,9   ; 18,4   ; 0,1   ; 1368,3   ; 145,4   ; 0,3   
IX. Древесина и изделия из древесины; 3518,2   ; 103,4   ; 1,1   ; 1029,3   ; 84,9   ; 0,2   
X. Масса из древесины или других волокнистых целлюлозных материалов; 6434,4   ; 82,8   ; 2   ; 31263,8   ; 145,6   ; 7   
бумага и картон; 4275   ; 108,1   ; 1,3   ; 30756,3   ; 150   ; 6,9   
ХI. Текстильные материалы и текстильные изделия; 7859,9   ; 74,3   ; 2,5   ; 24888,1   ; 114,5   ; 5,6   
синтетические или искусственные штапельные волокна;0;0;0; 9264   ; 107,3   ; 2,1   
вата; 3987   ; 120,5   ; 1,3   ; 6386,1   ; 134,2   ; 1,4   
XII. Обувь, головные уборы, зонты; 3439,3   ; 165,6   ; 1,1   ; 578,2   ; 106,6   ; 0,1   
зонтики; 3345,9   ; 167,2   ; 1,1   ; 62,1   ; 81,5   ; 0     
XIII. Изделия из камня, гипса, цемента; 8131,2   ; 65   ; 2,6   ; 5737,9   ; 124,6   ; 1,3   
керамические изделия; 5945,3   ; 59,5   ; 1,9   ; 1021,2   ; 167,2   ; 0,2   
стекло и изделия из стекла; 1735,4   ; 94,2   ; 0,5   ; 3465,5   ; 116,8   ; 0,8   
XIV. Жемчуг природный или культивированный, драгоценные или полудрагоценные камни;NULL;NULL;NULL; 134,6   ; 131,5   ; 0    
XV. Недрагоценные металлы и изделия из них; 11256,1   ; 56   ; 3,5   ; 27809,8   ; 103,4   ; 6,2   
черные металлы; 569,6   ; 37,6   ; 0,2   ; 6918,7   ; 117,6   ; 1,6   
изделия из черных металлов; 5411,1   ; 46,4   ; 1,7   ; 7573,9   ; 104,2   ; 1,7   
XVI. Машины, оборудование и механизмы, электротехническое оборудование; 73650,7   ; 76,2   ; 23,1   ; 76438   ; 125,6   ; 17,2   
реакторы ядерные, котлы, машины; 44210,6   ; 68,3   ; 13,9   ; 59398   ; 133,8   ; 13,3   
электрические машины; 29440,1   ; 92,3   ; 9,3   ; 17039,9   ; 103,4   ; 3,8   
XVII. Средства наземного транспорта, летательные аппараты, плавучие средства; 9315,6   ; 63,7   ; 2,9   ; 21213,9   ; 152   ; 4,8   
средства наземного транспорта, кроме железнодорожного; 4069,8   ; 44,7   ; 1,3   ; 20619   ; 155,5   ; 4,6   
судна; 5156,6   ; 114   ; 1,6   ;NULL;NULL;NULL
XVIII. Приборы и аппараты оптические, фотографические; 9831,9   ; 104   ; 3,1   ; 6158   ; 73   ; 1,4   
приборы и аппараты оптические, фотографические;NULL;NULL;NULL; 6117,7   ; 73,1   ; 1,4   
ХIX. Различные промышленные товары; 11085,6   ; 63,9   ; 3,5   ; 4423,6   ; 119,5   ; 1   
мебель; 9623   ; 60,7   ; 3   ; 3087,8   ; 146,6   ; 0,7   
